COD_DEIS	Año	Mes	COD_SIGTE	CONSULTAS	CONSULTAS_NUEVA	CONSULTAS_CONTROL	PERTINENTES	NSP	NSP_NUEVA	ALTAS
114101	2018	8	07-059	337	57	280	0	40	40	21
114101	2018	8	07-060	393	141	252	0	2	2	103
114101	2018	8	07-061	0	0	0	0	0	0	0
114101	2018	8	07-062	0	0	0	0	0	0	0
114101	2018	8	07-063	0	0	0	0	0	0	0
114101	2018	8	07-064	457	37	420	0	161	161	31
114101	2018	8	07-065	127	45	82	0	22	22	12
114101	2018	8	07-066	621	156	465	13	142	0	38
114101	2018	8	07-067	1763	753	1010	146	253	253	409
114101	2018	8	07-068	157	54	103	23	23	23	12
114101	2018	9	07-002	0	0	0	0	0	0	0
114101	2018	9	07-003	1283	332	951	0	150	0	29
114101	2018	9	07-004	1048	352	696	101	129	0	136
114101	2018	9	07-005	874	127	747	27	65	0	4
114101	2018	9	07-006	0	0	0	0	0	0	0
114101	2018	9	07-007	29	20	9	0	10	0	1
114101	2018	9	07-008	51	0	51	0	0	0	0
114101	2018	9	07-009	306	150	156	36	74	74	33
114101	2018	9	07-010	247	90	157	26	61	0	49
114101	2018	9	07-011	392	140	252	25	61	0	37
114101	2018	9	07-012	1078	346	732	0	305	69	139
114101	2018	9	07-013	408	19	389	3	0	0	11
114101	2018	9	07-014	724	85	639	0	83	0	6
114101	2018	9	07-015	384	34	350	0	61	61	17
114101	2018	9	07-016	123	43	80	0	22	0	8
114101	2018	9	07-017	605	90	515	0	67	67	25
114101	2018	9	07-018	406	78	328	0	46	0	14
114101	2018	9	07-019	331	44	287	0	80	80	8
114101	2018	9	07-020	110	40	70	0	20	20	1
114101	2018	9	07-021	0	0	0	0	0	0	0
114101	2018	9	07-022	106	28	78	6	22	22	10
114101	2018	9	07-023	814	110	704	44	92	0	17
114101	2018	9	07-025	508	43	465	3	116	0	1
114101	2018	9	07-026	292	116	176	52	65	0	56
114101	2018	9	07-028	0	0	0	0	0	0	0
114101	2018	9	07-029	116	0	0	1	0	0	115
114101	2018	9	07-030	1668	310	1358	47	313	0	36
114101	2018	9	07-035	0	0	0	0	0	0	0
114101	2018	9	07-037	1442	94	1348	41	123	0	6
114101	2018	9	07-038	430	51	379	4	63	63	9
114101	2018	9	07-039	127	3	124	0	41	41	4
114101	2018	9	07-040	441	144	297	52	69	31	29
114101	2018	9	07-041	927	216	711	55	83	0	38
114101	2018	9	07-042	955	147	808	59	162	162	31
114101	2018	9	07-044	3506	862	2644	0	371	45	35
114101	2018	9	07-045	496	68	428	0	43	0	9
114101	2018	9	07-046	1356	472	884	0	248	89	50
114101	2018	9	07-047	94	13	81	2	29	29	4
114101	2018	9	07-048	905	38	867	0	218	0	11
114101	2018	9	07-049	151	18	133	0	0	0	0
114101	2018	9	07-051	944	68	876	0	52	0	6
114101	2018	9	07-053	2589	758	1831	123	439	0	102
114101	2018	9	07-054	778	166	612	59	96	0	22
114101	2018	9	07-055	470	57	413	0	64	64	56
114101	2018	9	07-056	157	35	122	7	15	0	3
114101	2018	9	07-057	49	10	39	0	6	6	0
114101	2018	9	07-058	939	222	717	113	154	0	85
114101	2018	9	07-059	243	42	201	0	32	32	11
114101	2018	9	07-060	377	138	239	0	0	0	106
114101	2018	9	07-061	0	0	0	0	0	0	0
114101	2018	9	07-062	0	0	0	0	0	0	0
114101	2018	9	07-063	0	0	0	0	0	0	0
